始发乡镇编码,始发乡镇名称,始发城市编码,到达乡镇编码,到达乡镇名称,到达城市编码,,日期
44010301,逢源街道,440103,44011409,梯面镇,440114,0,20160901
44010301,逢源街道,440103,44011502,万项沙镇,440115,2,20160901
44010301,逢源街道,440103,44011304,桥南街道,440113,2,20160901
44010301,逢源街道,440103,44011503,横沥镇,440115,3,20160901
44010301,逢源街道,440103,44011315,大岗镇,440113,4,20160901
44010301,逢源街道,440103,44011406,炭步镇,440114,5,20160901
44010301,逢源街道,440103,44011412,雅瑶镇,440114,6,20160901
44010301,逢源街道,440103,44011309,化龙镇,440113,6,20160901
44010301,逢源街道,440103,44011313,榄核镇,440113,6,20160901
44010301,逢源街道,440103,44011504,黄阁镇,440115,6,20160901
44010301,逢源街道,440103,44011317,东涌镇,440113,8,20160901
44010301,逢源街道,440103,44011407,赤坭镇,440114,10,20160901
44010301,逢源街道,440103,44011501,南沙街道,440115,10,20160901
44010301,逢源街道,440103,44011310,石碁镇,440113,10,20160901
44010301,逢源街道,440103,44011308,新造镇,440113,10,20160901
44010301,逢源街道,440103,44011403,花山镇,440114,10,20160901
44010301,逢源街道,440103,44011311,石楼镇,440113,11,20160901
44010301,逢源街道,440103,44011303,东环街道,440113,12,20160901
44010301,逢源街道,440103,44010607,前进街道,440106,16,20160901
44010301,逢源街道,440103,44011302,沙头街道,440113,16,20160901
44010301,逢源街道,440103,44010618,新塘街道,440106,16,20160901
44010301,逢源街道,440103,44011404,花东镇,440114,16,20160901
44010301,逢源街道,440103,44011312,沙湾街道,440113,17,20160901
44010301,逢源街道,440103,44010617,珠吉街道,440106,18,20160901
44010301,逢源街道,440103,44010604,凤凰街道,440106,19,20160901
44010301,逢源街道,440103,44010601,沙河街道,440106,20,20160901
44010301,逢源街道,440103,44010516,官洲街道,440105,21,20160901
44010301,逢源街道,440103,44010515,华洲街道,440105,22,20160901
44010301,逢源街道,440103,44011405,狮岭镇,440114,23,20160901
44010301,逢源街道,440103,44010621,龙洞街道,440106,24,20160901
44010301,逢源街道,440103,44011314,石壁街道,440113,27,20160901
44010301,逢源街道,440103,44011102,钟落潭镇,440111,27,20160901
44010301,逢源街道,440103,44011305,钟村街道,440113,31,20160901
44010301,逢源街道,440103,44010619,元岗街道,440106,32,20160901
44010301,逢源街道,440103,44011117,京溪街道,440111,34,20160901
44010301,逢源街道,440103,44010608,黄村街道,440106,34,20160901
44010301,逢源街道,440103,44010611,沙东街道,440106,34,20160901
44010301,逢源街道,440103,44010620,长兴街道,440106,35,20160901
44010301,逢源街道,440103,44010615,天园街道,440106,36,20160901
44010301,逢源街道,440103,44011104,江高镇,440111,37,20160901
44010301,逢源街道,440103,44010602,五山街道,440106,40,20160901
